name,kind,gradient_noise,drift_per_step,amplitude,period,jump_interval,method,seed,dim,condition_number,tail_mse,tail_regret,tail_p90_error,phase_lag_steps,time_to_recovery
stationary_noisy,stationary,0.05,0.0,0.0,0,0,Nesterov,1016,20,5.0,0.0035114618375801316,0.0038387252188546938,0.07082379842698928,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,Adam,1016,20,5.0,0.003562531107866586,0.004154747918325993,0.0703426205780295,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,AMSGrad,1016,20,5.0,0.0019346632946557968,0.002346737893020671,0.052700531767573784,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,SGD,1017,20,5.0,0.0005605581850715459,0.0007015038781460465,0.02813930065333416,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,HeavyBall,1017,20,5.0,0.005395777282827403,0.006597257564105146,0.08733325462021992,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,Nesterov,1017,20,5.0,0.003302928051823033,0.003746262797754499,0.0708478309749311,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,Adam,1017,20,5.0,0.0034846240515653943,0.004278259630888867,0.07222084442496063,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,AMSGrad,1017,20,5.0,0.0026876108348944557,0.0033427789085114135,0.06331354225846327,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,SGD,1018,20,5.0,0.0005583174451890044,0.0006947168821173019,0.027743142912514434,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,HeavyBall,1018,20,5.0,0.005062964341320187,0.006464455495843842,0.08619494093304873,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,Nesterov,1018,20,5.0,0.0031015775462153376,0.003639162131548672,0.06737454459059962,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,Adam,1018,20,5.0,0.003349802287215822,0.004148149721744864,0.06758152670889372,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,AMSGrad,1018,20,5.0,0.002116609139101133,0.002671904906798131,0.05412391987457855,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,SGD,1019,20,5.0,0.0005595971404546868,0.0007000753111400032,0.0285286857715222,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,HeavyBall,1019,20,5.0,0.005125207503623695,0.0064663168402436565,0.08584774773135553,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,Nesterov,1019,20,5.0,0.00313196582553287,0.0036725535907198214,0.06662074909035597,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,Adam,1019,20,5.0,0.0032517759912215967,0.004205146459516714,0.06804686303295512,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,AMSGrad,1019,20,5.0,0.001833250853435703,0.0023321140151253052,0.05158325487739428,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,SGD,1020,20,5.0,0.0005293052400171056,0.0006419898759507571,0.02745211784370461,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,HeavyBall,1020,20,5.0,0.005375433504305344,0.0065457930406703745,0.08560828383877725,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,Nesterov,1020,20,5.0,0.0032460596004840483,0.0036784070309692453,0.06806320181751763,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,Adam,1020,20,5.0,0.0033553632429863616,0.004071746353612198,0.0677066209941256,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,AMSGrad,1020,20,5.0,0.0021218272549595072,0.002557739700747196,0.05498829700705265,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,SGD,1021,20,5.0,0.0005369833016650743,0.0006810299716581043,0.02812388100975024,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,HeavyBall,1021,20,5.0,0.005141009744984089,0.006262708309232493,0.08504006030106734,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,Nesterov,1021,20,5.0,0.003183349861903727,0.003617837352598108,0.06831912672561141,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,Adam,1021,20,5.0,0.003230403089359729,0.003912459728267457,0.06779412709128685,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,AMSGrad,1021,20,5.0,0.002135803146544639,0.0026757019412949044,0.055902596625259975,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,SGD,1022,20,5.0,0.0006060578738929785,0.0007163966312496096,0.030445417830150808,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,HeavyBall,1022,20,5.0,0.005515533240225312,0.006762248393540091,0.09024388087854848,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,Nesterov,1022,20,5.0,0.003382608246652793,0.003759812821131342,0.07276787231013071,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,Adam,1022,20,5.0,0.003656736846287673,0.00437122521354124,0.0756187333261541,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,AMSGrad,1022,20,5.0,0.0018460654994482536,0.0022827502080406924,0.05197462213283739,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,SGD,1023,20,5.0,0.0005782061262467753,0.000722981072487053,0.0294943115726842,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,HeavyBall,1023,20,5.0,0.005141554590817876,0.006553700356396559,0.0864254826785046,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,Nesterov,1023,20,5.0,0.003230067751525385,0.0037895013172824384,0.07026459452388009,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,Adam,1023,20,5.0,0.003607699586295833,0.0045283574229318954,0.07274158122125475,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,AMSGrad,1023,20,5.0,0.0024660758481263112,0.0031439643755737,0.06231626307318765,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,SGD,1024,20,5.0,0.0005493045427592085,0.0006585012568241281,0.028871529593147885,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,HeavyBall,1024,20,5.0,0.004641156018700274,0.005749992317037052,0.08178235215963575,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,Nesterov,1024,20,5.0,0.002934467452808212,0.003353787005930574,0.06655240045921755,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,Adam,1024,20,5.0,0.0030238212731032855,0.0036898593932888648,0.06563724211426951,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,AMSGrad,1024,20,5.0,0.0017882855808795482,0.0022504223738036046,0.050914409082654495,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,SGD,1025,20,5.0,0.000637230156495672,0.0007399641356961285,0.029899423004282923,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,HeavyBall,1025,20,5.0,0.005603027543213297,0.006654203041328676,0.09269355890243573,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,Nesterov,1025,20,5.0,0.003392027672033909,0.003778786542327927,0.0719396485530458,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,Adam,1025,20,5.0,0.00357664650030578,0.004279875947553342,0.07390953024546412,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,AMSGrad,1025,20,5.0,0.002554844944907353,0.0030348715480192877,0.06076325663631947,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,SGD,1026,20,5.0,0.0005870176164691987,0.0007107656491728714,0.028833618008105563,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,HeavyBall,1026,20,5.0,0.00524514214673627,0.006403215382275961,0.08678114536022555,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,Nesterov,1026,20,5.0,0.0032458054794155472,0.0037117653049775394,0.06908860191568032,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,Adam,1026,20,5.0,0.003199875868619778,0.003998121442846566,0.0685874429788775,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,AMSGrad,1026,20,5.0,0.0019998800178203063,0.0025346915004387195,0.05485688510167424,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,SGD,1027,20,5.0,0.0005155510191136015,0.0006348523309786969,0.02728003685475314,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,HeavyBall,1027,20,5.0,0.005245005039429524,0.006298952247818967,0.08693914155625529,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,Nesterov,1027,20,5.0,0.0032101239994411024,0.003632129887964057,0.06899146411689427,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,Adam,1027,20,5.0,0.0034700892708339703,0.0041815273621488265,0.07086168500643318,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,AMSGrad,1027,20,5.0,0.0019587225418226527,0.002431463146717556,0.05450529493615516,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,SGD,1028,20,5.0,0.0006449889834070938,0.0007354952140051237,0.030747272629145807,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,HeavyBall,1028,20,5.0,0.00566188174044846,0.006590677710611934,0.09169873922672277,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,Nesterov,1028,20,5.0,0.0036211835043349085,0.003910468836471037,0.07289900413035982,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,Adam,1028,20,5.0,0.0038288265546888704,0.004377288076669083,0.07516528170550986,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,AMSGrad,1028,20,5.0,0.002340055079659134,0.002684034975698789,0.058931971372941414,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,SGD,1029,20,5.0,0.0005307925051247314,0.0006774814597400496,0.027231289624077056,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,HeavyBall,1029,20,5.0,0.005038673293939363,0.006305940438971074,0.08501062021063964,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,Nesterov,1029,20,5.0,0.0030868613723523046,0.003629633163687378,0.06844958420631865,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,Adam,1029,20,5.0,0.003172505876418975,0.003962730634420121,0.06835129108781952,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,AMSGrad,1029,20,5.0,0.0021983213489988936,0.0028606458070060048,0.05684667490426077,,
