name,kind,method,runs,tail_mse_mean,tail_mse_std,tail_mse_median,tail_mse_q25,tail_mse_q75,tail_mse_ci_low,tail_mse_ci_high,tail_regret_mean,tail_regret_std,tail_regret_median,tail_regret_q25,tail_regret_q75,tail_regret_ci_low,tail_regret_ci_high,tail_p90_error_mean,tail_p90_error_std,tail_p90_error_median,tail_p90_error_q25,tail_p90_error_q75,tail_p90_error_ci_low,tail_p90_error_ci_high,phase_lag_steps_mean,phase_lag_steps_std,phase_lag_steps_median,phase_lag_steps_q25,phase_lag_steps_q75,phase_lag_steps_ci_low,phase_lag_steps_ci_high,time_to_recovery_mean,time_to_recovery_std,time_to_recovery_median,time_to_recovery_q25,time_to_recovery_q75,time_to_recovery_ci_low,time_to_recovery_ci_high
jump_noisy,jump,HeavyBall,30,0.005333377582130081,0.00028918101159842617,0.005316765906308713,0.005186167191830879,0.005438720024529327,0.005229713515401072,0.0054349522946404326,0.006484689497163737,0.00029781434282723245,0.006511488125875436,0.006256408784524131,0.006726516216177913,0.006384583154079003,0.0065902048156111235,0.08806107048244502,0.002833817442302418,0.08763631319444137,0.08629720038551192,0.08979293691374929,0.08705290070796362,0.08908790847581194,,,,,,,,3.933333333333333,0.2537081317024624,4.0,4.0,4.0,3.8333333333333335,4.0
jump_noisy,jump,Nesterov,30,0.0032625757101158383,0.0001457827654804902,0.0032476074841931504,0.003173782880293949,0.0033293178703580686,0.003208301547925061,0.003315360665013877,0.0036921386144736757,0.0001311356064653231,0.0036783269273250934,0.003591875202966298,0.0037991889835291403,0.003648657181578165,0.003739701781724031,0.06968794644508368,0.0019979598407601352,0.06938770414373241,0.06837355408509639,0.070804019681548,0.06896563993832362,0.07042545511615304,,,,,,,,3.0,0.0,3.0,3.0,3.0,3.0,3.0
jump_noisy,jump,SGD,30,0.0005455421297246805,3.251579214862173e-05,0.0005519450404663884,0.0005141855532056871,0.0005673344861743311,0.0005341815375333022,0.0005565567625061213,0.0006711632923710727,2.8579937743897055e-05,0.0006764289642891953,0.0006520974852947244,0.000690417364738741,0.0006611112410267766,0.0006812771844948877,0.02816017928000212,0.0011557012948179939,0.028289708711058827,0.02726333411775595,0.028877355751110202,0.027783498458943335,0.028595984421058266,,,,,,,,8.133333333333333,0.3457459036417604,8.0,8.0,8.0,8.033333333333333,8.266666666666667
linear_fast,linear,AMSGrad,30,0.0025631839225816327,0.0005461290233388456,0.0025991672908291445,0.002167442024586126,0.002961123561381545,0.0023605011293230138,0.0027588143757413235,0.0027387407573652737,0.0005131824001745926,0.0027737642148722543,0.0024272107620607933,0.0030680318099264923,0.0025606957461715646,0.002918859607324645,0.055953136742993,0.005657279571194515,0.05689771666794104,0.05285492692506238,0.05969115449876222,0.053911629085296016,0.057890615369885386,,,,,,,,,,,,,,
linear_fast,linear,Adam,30,0.0013523857711286622,7.59669123655676e-05,0.0013430642174965912,0.0012971679257866697,0.0014222290009708294,0.0013262369543628062,0.0013804482881518236,0.0016086526000070706,7.712019844930347e-05,0.0016252007129672467,0.0015517642221934047,0.0016690423991165256,0.0015824970177015529,0.0016362061779349242,0.04457223018580449,0.0014247765587404038,0.04450077648777452,0.043593502225175926,0.045600106207686106,0.04405818401230634,0.04508594948203132,,,,,,,,,,,,,,
linear_fast,linear,HeavyBall,30,0.0011615256644613146,5.1319241860863356e-05,0.0011515572243316272,0.0011248341381481898,0.001200410005914523,0.0011438781212808852,0.0011793530532451396,0.0013589765481404053,5.250951302938187e-05,0.0013515431988666794,0.0013243831344282588,0.0013995535525360044,0.0013404991282007477,0.0013777829085130382,0.04106385084229226,0.0011407671875947364,0.04080085475461334,0.040484918952984845,0.041848584133453465,0.04068615171733456,0.041460828822950185,,,,,,,,,,,,,,
linear_fast,linear,Nesterov,30,0.0008285093254561086,3.2690685753364745e-05,0.0008285404661886064,0.000816509559024206,0.0008512414327835089,0.0008172258154518716,0.0008393838917529076,0.0009062606727655644,2.76817100734512e-05,0.0009002808680682611,0.0008899365012373505,0.0009272840675360115,0.0008967484465655727,0.0009159251238664064,0.03495023819060223,0.0009808235209141567,0.03491653558040609,0.03433535831942534,0.03555175069195561,0.034608307303202246,0.035301636119134214,,,,,,,,,,,,,,
linear_fast,linear,SGD,30,0.030530271910737213,0.0002485201590120043,0.030504663146416137,0.03039792531217264,0.030689575760937754,0.030439739987180612,0.030613881302779436,0.031257043578089096,0.0002060424565133576,0.031289422371324226,0.031131016966163477,0.03136126513232123,0.031185254686313956,0.031329462461344645,0.17777673482158005,0.0008509406934744351,0.17791203755587126,0.17717063518048132,0.17829040110845373,0.17747234547248483,0.17806945707433788,,,,,,,,,,,,,,
linear_slow,linear,AMSGrad,30,0.00042671750526819595,5.926435303182373e-05,0.0004295463082505626,0.0003930883735959296,0.00045722673860376916,0.00040562665496125165,0.0004469568946609602,0.0005379481582453352,7.803139499693041e-05,0.0005432355329550223,0.0004946620864722371,0.0005713354695765394,0.0005101412547410739,0.0005652809963795855,0.025012221764513683,0.0018467673995900403,0.025206523122983673,0.023470628878196727,0.02615923752492343,0.024402014829788893,0.025648439048636885,,,,,,,,,,,,,,
linear_slow,linear,Adam,30,0.0011915309708359144,5.9661050940253755e-05,0.0011919435653039779,0.001164327231402128,0.0012338503574214283,0.00117146640501725,0.0012114097104545683,0.0014460674191592343,5.945652991083585e-05,0.001449915671664896,0.001415238550742303,0.0014770789516500328,0.0014251829707743152,0.001466640830935168,0.04173376767695324,0.001205201905361753,0.041683752602388345,0.04103210469681472,0.042611154005428406,0.04132574981383431,0.042149714481419534,,,,,,,,,,,,,,
linear_slow,linear,HeavyBall,30,0.0008549857871717916,4.136407935368192e-05,0.0008616010231279479,0.0008282771189201107,0.0008847604532790327,0.0008394464975191067,0.0008689432419092264,0.001038526341343316,4.6779504583052194e-05,0.00103076466876727,0.0010063014337904363,0.001065704960066945,0.0010226812885628658,0.0010546352994644636,0.03534493279375532,0.0010937961665655025,0.035490796574487726,0.03473613789128016,0.03619277270393556,0.03497071176948148,0.035734843510106376,,,,,,,,,,,,,,
linear_slow,linear,Nesterov,30,0.000525514497242296,2.1940654015513224e-05,0.00052309577859932,0.0005126381410660926,0.0005427127297410327,0.0005174361368533772,0.000533041782832172,0.0005957361785448014,1.764235521097888e-05,0.0005949773125911188,0.0005895730125618083,0.0006084864967240764,0.0005890178385615577,0.0006019086042444533,0.028097294446700262,0.0007595578444959208,0.028024789074100588,0.027675476858589315,0.028758933121152,0.027815081571882897,0.02835860524104073,,,,,,,,,,,,,,
linear_slow,linear,SGD,30,0.00039629364107842785,2.1391049635745918e-05,0.00039492661539857203,0.000381437133018922,0.0004092642266312741,0.0003888261704717121,0.0004040852528738906,0.00042115086525436817,1.3326719095432659e-05,0.000420025714964498,0.00041442202361515975,0.00042858938732004756,0.0004163997614503997,0.0004259276045564813,0.022693889843599782,0.0006486869886113547,0.02272588469905562,0.022312894181027443,0.022895586929860233,0.022478932498163712,0.022922130284830724,,,,,,,,,,,,,,
stationary_noisy,stationary,AMSGrad,30,0.0022167137001268275,0.0002747820533656441,0.0021798849349767284,0.0020108438450058123,0.002353798025701493,0.002122221701437386,0.0023119342000766934,0.0027684978823482266,0.00033983372111930126,0.0027179421379007213,0.0024921537090608794,0.0030121466278175257,0.002648643405573434,0.0028851189439717947,0.05713612813946693,0.0037189223287498424,0.057148629156880626,0.05431468380754952,0.06017707809205287,0.05585538412788545,0.058470117276925866,,,,,,,,,,,,,,
stationary_noisy,stationary,Adam,30,0.003421049078047378,0.00021091135716672823,0.003415906591249776,0.003243953694542969,0.0035731176521959815,0.0033476347464392892,0.0034967786006124806,0.004169715945986081,0.0002062752763201059,0.0041865685482418286,0.0040491168273277395,0.004298953396197442,0.004095965956740856,0.004242351745229851,0.07060122600984993,0.0029267523514040113,0.0704396636472833,0.0679107246108941,0.07271869778629966,0.06959043205097229,0.07165421062432761,,,,,,,,,,,,,,
stationary_noisy,stationary,HeavyBall,30,0.005312012829377478,0.0002771983480750176,0.005275916678575767,0.005129158063963794,0.005469828313168834,0.005210247106952564,0.005409082518405902,0.0064857509308655,0.00026494543195121963,0.006487185458346379,0.00632876072736118,0.006620436090383783,0.006390310094969676,0.006578300538795162,0.08770957514822417,0.002645584375565879,0.08713619808823761,0.08577275081286409,0.08947229345837639,0.08672866899695435,0.08861562369731352,,,,,,,,,,,,,,
stationary_noisy,stationary,Nesterov,30,0.0032649211789350613,0.00016197991018626767,0.003237936615470466,0.003144741336975987,0.0033734165451427983,0.0032113954544459354,0.0033224222992051747,0.0037095797238773306,0.0001326377584830639,0.0036976973196212884,0.0036409027424217054,0.0037853968779839892,0.0036598354108264355,0.0037559213851140814,0.06964846573798068,0.0021575338799742837,0.06942242910875496,0.0678632736078698,0.07174315752543943,0.06888095630451062,0.07040875644519907,,,,,,,,,,,,,,
stationary_noisy,stationary,SGD,30,0.0005599998954098554,3.590707013816858e-05,0.0005589572928218457,0.0005372278644650238,0.0005784092413228159,0.0005470441414578748,0.0005720977635111753,0.0006844013334266763,2.8946152707777833e-05,0.0006854377322629401,0.0006710950635007135,0.0007011467363945357,0.0006739323591024249,0.0006947278500737317,0.028615489112105326,0.001171571597729024,0.028517774533258676,0.027982320656362705,0.02920216438171395,0.028210611316755597,0.029028162124317008,,,,,,,,,,,,,,
