case_id,dim,condition_number,path_kind,observation_noise,drift_per_query,amplitude,period,protocol,method,family,seed,query_budget,total_target_displacement,final_mse,query_averaged_mse,tail_mse,queries_to_threshold,mean_gradient_cosine,updates,queries_per_update,learning_rate,smoothing,directions,maximum_gradient_norm,failed,first_order_mse,mse_ratio_to_first_order
linear_d20,20,5.0,linear,0.001,0.0001,0.0,0,frozen,SPSA-m1,spsa,1020,10000,1.0,5.424278693046872e-05,0.004302829369711578,6.365131707404434e-05,150.0,0.16850760943042034,5000.0,2.0,0.020000000000000004,0.1,1.0,30.95274169794883,0.0,0.0025123316947977107,1.7126836311548568
linear_d20,20,5.0,linear,0.001,0.0001,0.0,0,frozen,SPSA-m1,spsa,1021,10000,1.0,4.336183073430328e-05,0.007348035318952174,6.104086010533179e-05,250.0,0.16757158907643183,5000.0,2.0,0.020000000000000004,0.1,1.0,25.059117853397677,0.0,0.0025123316947977107,2.9247870948600307
linear_d20,20,5.0,linear,0.001,0.0001,0.0,0,frozen,SPSA-m1,spsa,1022,10000,1.0,4.035390519590545e-05,0.006967989284407331,5.979377525561685e-05,350.0,0.16812951137303794,5000.0,2.0,0.020000000000000004,0.1,1.0,19.804702218655642,0.0,0.0025123316947977107,2.773514858263325
linear_d20,20,5.0,linear,0.001,0.0001,0.0,0,frozen,SPSA-m1,spsa,1023,10000,1.0,4.581864445976803e-05,0.005087115277088058,7.002569582925758e-05,250.0,0.16673699885208196,5000.0,2.0,0.020000000000000004,0.1,1.0,23.31447749962222,0.0,0.0025123316947977107,2.024858137809572
linear_d20,20,5.0,linear,0.001,0.0001,0.0,0,frozen,SPSA-m1,spsa,1024,10000,1.0,7.888226367006887e-05,0.005757255830237874,6.019345164353287e-05,250.0,0.16725779948972272,5000.0,2.0,0.020000000000000004,0.1,1.0,22.357161839114543,0.0,0.0025123316947977107,2.291598614211425
linear_d20,20,5.0,linear,0.001,0.0001,0.0,0,frozen,SPSA-m1,spsa,1025,10000,1.0,7.010639434843029e-05,0.007164937096776799,5.797309642852194e-05,350.0,0.16809011543397676,5000.0,2.0,0.020000000000000004,0.1,1.0,20.57576623950121,0.0,0.0025123316947977107,2.8519072985518776
linear_d20,20,5.0,linear,0.001,0.0001,0.0,0,frozen,SPSA-m1,spsa,1026,10000,1.0,7.096583308964342e-05,0.004459002428452843,8.197872965350185e-05,200.0,0.16578677918178206,5000.0,2.0,0.020000000000000004,0.1,1.0,22.789290904883376,0.0,0.0025123316947977107,1.7748462265894691
linear_d20,20,5.0,linear,0.001,0.0001,0.0,0,frozen,SPSA-m1,spsa,1027,10000,1.0,6.488065141958127e-05,0.005687233077361035,6.459975659770816e-05,250.0,0.16978602119516906,5000.0,2.0,0.020000000000000004,0.1,1.0,30.40170481515792,0.0,0.0025123316947977107,2.2637269947824157
linear_d20,20,5.0,linear,0.001,0.0001,0.0,0,frozen,SPSA-m1,spsa,1028,10000,1.0,4.9875039319054813e-05,0.009568158008196033,6.183208522346724e-05,350.0,0.1639529448356489,5000.0,2.0,0.020000000000000004,0.1,1.0,26.135558500048685,0.0,0.0025123316947977107,3.808477211830282
linear_d20,20,5.0,linear,0.001,0.0001,0.0,0,frozen,SPSA-m1,spsa,1029,10000,1.0,6.844110343067026e-05,0.005191394050631242,5.387565710711627e-05,250.0,0.1686318618619568,5000.0,2.0,0.020000000000000004,0.1,1.0,19.038479987240443,0.0,0.0025123316947977107,2.0663649076995165
