path_kind,dim,method,metric,queries,mean,std,ci_low,ci_high,runs
linear,10,CoordinateCentral,squared_error,7550.0,0.0006345413442963263,3.9989439338122116e-05,0.0006202313072111767,0.000648851381381476,30
linear,10,CoordinateCentral,squared_error,7600.0,0.0005980043170134431,3.6005175290845416e-05,0.000585120030506877,0.0006108886035200092,30
linear,10,CoordinateCentral,squared_error,7650.0,0.0006454523788571759,4.1142467059800286e-05,0.0006307297361008663,0.0006601750216134856,30
linear,10,CoordinateCentral,squared_error,7700.0,0.0006052096270722317,3.278595728437353e-05,0.0005934773229345176,0.0006169419312099458,30
linear,10,CoordinateCentral,squared_error,7750.0,0.0006472290324612504,3.741006530607452e-05,0.0006338420125192765,0.0006606160524032243,30
linear,10,CoordinateCentral,squared_error,7800.0,0.0006002271605987363,3.688521252259187e-05,0.0005870279568132325,0.00061342636438424,30
linear,10,CoordinateCentral,squared_error,7850.0,0.0006450861848553757,3.890328406607784e-05,0.0006311648234426146,0.0006590075462681368,30
linear,10,CoordinateCentral,squared_error,7900.0,0.0005998298352558245,4.040129553502432e-05,0.0005853724173234071,0.000614287253188242,30
linear,10,CoordinateCentral,squared_error,7950.0,0.0006459782409334965,4.137033953644425e-05,0.0006311740550586678,0.0006607824268083253,30
linear,10,CoordinateCentral,squared_error,8000.0,0.0006017109516034822,3.830461026643242e-05,0.0005880038228585612,0.0006154180803484032,30
linear,10,CoordinateCentral,squared_error,8050.0,0.000646070686772516,3.777145579368856e-05,0.0006325543449054146,0.0006595870286396175,30
linear,10,CoordinateCentral,squared_error,8100.0,0.000603462716959208,3.859389264510336e-05,0.0005896520698445529,0.0006172733640738631,30
linear,10,CoordinateCentral,squared_error,8150.0,0.0006477339172202376,4.276575097413068e-05,0.0006324303897754135,0.0006630374446650618,30
linear,10,CoordinateCentral,squared_error,8200.0,0.0006041660040531827,4.182724872619231e-05,0.000589198315324649,0.0006191336927817163,30
linear,10,CoordinateCentral,squared_error,8250.0,0.000647860178580739,4.894127681194331e-05,0.0006303467675961085,0.0006653735895653694,30
linear,10,CoordinateCentral,squared_error,8300.0,0.0005974623661806809,4.474910701074278e-05,0.00058144910389319,0.0006134756284681719,30
linear,10,CoordinateCentral,squared_error,8350.0,0.0006408344654416561,4.058626988841341e-05,0.0006263108552869767,0.0006553580755963355,30
linear,10,CoordinateCentral,squared_error,8400.0,0.0005994885768516378,3.921916013748372e-05,0.0005854541806384157,0.0006135229730648598,30
linear,10,CoordinateCentral,squared_error,8450.0,0.0006346619294099103,4.790389550463371e-05,0.0006175197405585415,0.000651804118261279,30
linear,10,CoordinateCentral,squared_error,8500.0,0.0005872489128602482,4.582634423484713e-05,0.0005708501661828388,0.0006036476595376576,30
linear,10,CoordinateCentral,squared_error,8550.0,0.0006242231987976474,4.6408058982050086e-05,0.0006076162881713747,0.0006408301094239201,30
linear,10,CoordinateCentral,squared_error,8600.0,0.0005870218670426393,4.536245934066979e-05,0.000570789119442706,0.0006032546146425725,30
linear,10,CoordinateCentral,squared_error,8650.0,0.0006400626782798063,4.161111853327638e-05,0.0006251723307475244,0.0006549530258120881,30
linear,10,CoordinateCentral,squared_error,8700.0,0.0005986990187529254,3.330331742294764e-05,0.0005867815796672872,0.0006106164578385635,30
linear,10,CoordinateCentral,squared_error,8750.0,0.000649178580134893,3.8776876353290895e-05,0.0006353024531412127,0.0006630547071285732,30
linear,10,CoordinateCentral,squared_error,8800.0,0.0006135216046487243,3.4178450636298246e-05,0.0006012910031645938,0.0006257522061328549,30
