dim,method,family,directions,learning_rate,smoothing,dimension_constant,tuning_score,failure_rate,selected
200,Gaussian-m1,gaussian,1,0.001,0.03,0.2,0.28569638591309043,0.0,False
200,Gaussian-m1,gaussian,1,0.001,0.1,0.2,0.28199173400718214,0.0,False
200,Gaussian-m1,gaussian,1,0.001,0.3,0.2,0.2817043587638494,0.0,False
200,Gaussian-m1,gaussian,1,0.002,0.03,0.4,0.2704608475887236,0.0,False
200,Gaussian-m1,gaussian,1,0.002,0.1,0.4,0.25514745289855567,0.0,False
200,Gaussian-m1,gaussian,1,0.002,0.3,0.4,0.2537247284079558,0.0,True
200,Gaussian-m5,gaussian,5,0.0012500000000000002,0.03,0.05,0.5739883904548773,0.0,False
200,Gaussian-m5,gaussian,5,0.0012500000000000002,0.1,0.05,0.5730296284109506,0.0,False
200,Gaussian-m5,gaussian,5,0.0012500000000000002,0.3,0.05,0.5728392004267977,0.0,False
200,Gaussian-m5,gaussian,5,0.0025000000000000005,0.03,0.1,0.40738697327077045,0.0,False
200,Gaussian-m5,gaussian,5,0.0025000000000000005,0.1,0.1,0.4054543721519842,0.0,False
200,Gaussian-m5,gaussian,5,0.0025000000000000005,0.3,0.1,0.40516127074462,0.0,False
200,Gaussian-m5,gaussian,5,0.005000000000000001,0.03,0.2,0.28451696579067104,0.0,False
200,Gaussian-m5,gaussian,5,0.005000000000000001,0.1,0.2,0.2800406808364678,0.0,False
200,Gaussian-m5,gaussian,5,0.005000000000000001,0.3,0.2,0.2795531989390015,0.0,False
200,Gaussian-m5,gaussian,5,0.010000000000000002,0.03,0.4,0.2786891605613325,0.0,False
200,Gaussian-m5,gaussian,5,0.010000000000000002,0.1,0.4,0.26299702859678625,0.0,False
200,Gaussian-m5,gaussian,5,0.010000000000000002,0.3,0.4,0.26159735357481273,0.0,True
200,Gaussian-m20,gaussian,20,0.005000000000000001,0.03,0.05,0.5622756225032759,0.0,False
200,Gaussian-m20,gaussian,20,0.005000000000000001,0.1,0.05,0.5622358450513435,0.0,False
200,Gaussian-m20,gaussian,20,0.005000000000000001,0.3,0.05,0.5623082960340946,0.0,False
200,Gaussian-m20,gaussian,20,0.010000000000000002,0.03,0.1,0.3965537181932485,0.0,False
200,Gaussian-m20,gaussian,20,0.010000000000000002,0.1,0.1,0.3959041667324368,0.0,False
200,Gaussian-m20,gaussian,20,0.010000000000000002,0.3,0.1,0.3959829259111018,0.0,False
200,Gaussian-m20,gaussian,20,0.020000000000000004,0.03,0.2,0.2831951196460457,0.0,False
200,Gaussian-m20,gaussian,20,0.020000000000000004,0.1,0.2,0.27979362541776626,0.0,False
200,Gaussian-m20,gaussian,20,0.020000000000000004,0.3,0.2,0.2796423923332615,0.0,True
200,Gaussian-m20,gaussian,20,0.04000000000000001,0.03,0.4,0.30515853333043347,0.0,False
200,Gaussian-m20,gaussian,20,0.04000000000000001,0.1,0.4,0.2910369394087436,0.0,False
200,Gaussian-m20,gaussian,20,0.04000000000000001,0.3,0.4,0.29029259596214996,0.0,False
200,CoordinateCentral,coordinate,1,0.04,0.1,,0.6477166456964458,0.0,True
