path_kind,dim,method,runs,mse_ratio_to_first_order_mean,mse_ratio_to_first_order_std,mse_ratio_to_first_order_median,mse_ratio_to_first_order_q25,mse_ratio_to_first_order_q75,mse_ratio_to_first_order_ci_low,mse_ratio_to_first_order_ci_high
linear,50,Gaussian-m1,30,5.206715795850483,0.7731123925106267,5.299515503912899,4.752727270107589,5.873160958778072,4.930800718538874,5.467326768587571
linear,50,Gaussian-m20,30,7.002136968822208,0.817554559754195,7.143277683917744,6.584426931516676,7.514783435324095,6.684486089389297,7.283938115012259
linear,50,Gaussian-m5,30,6.061868893322657,0.7462456453699017,5.974826651228672,5.769201233800427,6.5734434399932145,5.800776491015012,6.333029563214823
linear,50,SPSA-m1,30,5.204179149631185,0.8116629794607644,5.2033801886006215,4.44674577428081,5.862280757993212,4.915198800245287,5.478050755561736
linear,100,CoordinateCentral,30,51.06957712041931,0.09639387268344683,51.061842652835054,51.005212632690274,51.15476942230844,51.03648329940541,51.103763106663244
linear,100,Gaussian-m1,30,10.106684913539661,0.9890330358026658,9.927734369995875,9.458024427814522,10.83410121659468,9.751230862322933,10.458958768574497
linear,100,Gaussian-m20,30,12.907021505128474,1.168655692974784,13.045922641757649,12.004666873350327,13.580187183887245,12.47790487161471,13.312233150145614
linear,100,Gaussian-m5,30,10.662427154790416,0.9160785742409085,10.743000521069298,10.01037500997095,11.26205856987761,10.352370795310843,10.994323703705684
linear,100,SPSA-m1,30,10.32973380551018,0.938270525048869,10.21956050175984,9.642461196889627,11.056861323830422,10.023245039257347,10.65406374051072
linear,200,CoordinateCentral,30,113.56673947916043,0.16229478972566266,113.61640071383724,113.48748849711896,113.67209574105091,113.50598852306038,113.62168702626576
linear,200,Gaussian-m1,30,21.38664374371575,1.0657105897144392,21.02498252434207,20.73617915433499,21.74995811750484,21.027209542677962,21.778972045831328
linear,200,Gaussian-m20,30,27.401297954708088,1.6171364387007066,27.37746474188407,26.06649202002833,28.67455905370789,26.806651517216793,27.967164002980102
linear,200,Gaussian-m5,30,21.988711946830215,1.7766042182226096,21.91032519110263,20.527721219436753,23.22724219394556,21.373389133987693,22.599413463410915
linear,200,SPSA-m1,30,21.35069718970851,1.341463358971026,21.24832617138216,20.60966298702737,21.979940091572175,20.891518939810823,21.832295613403854
stationary,5,CoordinateCentral,30,2.0486297041453034,0.004678308215394271,2.047716544660955,2.0462544297570515,2.051134914027042,2.047054227330446,2.0503193989005966
stationary,5,Gaussian-m1,30,1.045824329347355,0.08011886768765775,1.0253315165191959,1.003520566466747,1.0438140363574906,1.0226748215650112,1.0781756204228559
stationary,5,Gaussian-m20,30,1.9752598612598322,0.4833839651852914,1.9723155162876693,1.647167773991046,2.1958965900738976,1.8091050196715248,2.155639744199799
stationary,5,Gaussian-m5,30,1.0915959284498482,0.07892864418485639,1.073015906882133,1.0364503627685797,1.1228694215104682,1.0643779042730452,1.119593609990743
stationary,5,SPSA-m1,30,1.0277249333384715,0.04337559873067462,1.0089208551324953,1.0010318467513184,1.0305877086047055,1.0139029310051788,1.0441074801029973
stationary,10,CoordinateCentral,30,4.027248971940542,0.0070805865390112434,4.025542931988315,4.023358750066019,4.029633020773088,4.024843925676828,4.029738540126948
stationary,10,Gaussian-m1,30,1.2805162966048533,0.17267349159041043,1.2479186903265176,1.1671618988615402,1.365501920484511,1.2220072873948022,1.3389062765418438
stationary,10,Gaussian-m20,30,2.5563031685011217,0.594975092134432,2.528985651759089,2.1904274630942893,3.0150737639764196,2.3440611236236557,2.750908259732948
stationary,10,Gaussian-m5,30,1.4501152075318744,0.2971909957862794,1.3775567578235801,1.264560626931813,1.5867753647883365,1.3488021804421952,1.5609723869365355
stationary,10,SPSA-m1,30,1.3269967050746387,0.24522510445838366,1.2682270755279186,1.1355499157676385,1.391031686502119,1.2465218019316493,1.4187006022495174
stationary,20,CoordinateCentral,30,8.588513110966822,0.017010487957526764,8.589640231246648,8.577027859894638,8.598064834989184,8.58262287624659,8.594330112254378
stationary,20,Gaussian-m1,30,2.189874028481864,0.5715046716986447,2.191441797850924,1.8146246342148786,2.4818861828007015,2.004094875417832,2.388740154028146
stationary,20,Gaussian-m20,30,3.624159615404599,0.6805777188947701,3.48217808294379,3.2789196885177265,3.8706578540757985,3.396207668501312,3.876927876508842
stationary,20,Gaussian-m5,30,2.9930341540129253,0.7516177854984248,3.0431605283522334,2.535890351657893,3.4900476038331627,2.726622003308456,3.261078111283973
stationary,20,SPSA-m1,30,2.1167642778567433,0.33708322766935434,2.051980922975143,1.9097342207251853,2.3147351253482755,2.0055539078496323,2.23391798936232
stationary,50,CoordinateCentral,30,23.72184632408784,0.04373074942646673,23.72703461748089,23.711363475517786,23.744988590536398,23.705303182450088,23.7363737748177
stationary,50,Gaussian-m1,30,5.493470977174632,0.7677893728308574,5.452450760915813,5.087675719779297,5.838897259624506,5.209244983523671,5.740092228519329
stationary,50,Gaussian-m20,30,7.179340763338219,1.0664125410092662,7.157265470829909,6.492491894192104,7.890257635458809,6.808931066936244,7.537588434270781
stationary,50,Gaussian-m5,30,5.274726721170711,0.8409795167973451,5.277995028947134,4.721984227657117,5.922711148975899,4.992297901790399,5.566141548998662
stationary,50,SPSA-m1,30,4.883756506316849,0.7416380074012406,4.830331251570618,4.364763537122769,5.387962478091242,4.638684906351409,5.144523251393722
stationary,100,CoordinateCentral,30,39.582704432320945,0.06825748547162634,39.56556990646268,39.53549539253457,39.62706039867767,39.55948994990405,39.6058953344907
stationary,100,Gaussian-m1,30,9.58260341047926,1.0644854455010913,9.360040153818112,8.968150156488115,10.323538554134364,9.200873476334664,9.950883159558535
stationary,100,Gaussian-m20,30,11.944357416935945,0.8716839084747289,12.014387641080672,11.300100466205173,12.466603180388336,11.636133471114585,12.257059520820508
stationary,100,Gaussian-m5,30,10.299331013581943,1.034176551430653,10.351626653296261,10.029188402498608,10.77909551563759,9.92824682455549,10.649496063719322
stationary,100,SPSA-m1,30,10.134986375652678,1.127201268784964,10.224296820709668,9.596044118023977,10.769112338005357,9.715218519346601,10.500510213672143
stationary,200,CoordinateCentral,30,82.18093154440832,0.12483341426438584,82.18035540214755,82.07398767505677,82.26260653130467,82.13774831246124,82.22255676206069
stationary,200,Gaussian-m1,30,20.246125991580293,1.3538487116206663,20.007248338858552,19.28070497593094,21.098682452801054,19.767610805621576,20.732733883961128
stationary,200,Gaussian-m20,30,23.30305282861496,1.4432356780416342,23.381457706133844,22.32254880373376,24.309655993928207,22.778385510504773,23.80799970634985
stationary,200,Gaussian-m5,30,20.756988188209895,1.6525557481761448,20.629281077933094,19.47697676784957,21.483204889805176,20.19118129069515,21.392904928041627
stationary,200,SPSA-m1,30,20.047273633648956,1.5201926251969147,19.888142955148222,19.562759657023598,20.808237832440394,19.486832087755374,20.590104773330612
