task,method,seed,tail_loss,tail_tracking_error,tail_feasibility_residual,tail_frame_error,tail_subspace_error
grassmann_subspace_tracking,RiemannianSGD,1010,0.007058712737828729,0.0765587901847565,6.28187410407355e-16,0.1979999699581627,0.0765587901847565
grassmann_subspace_tracking,ProjectedEuclideanSGD,1010,0.0070278828734532586,0.07640528165126005,6.257562304794221e-16,0.197906827476554,0.07640528165126005
grassmann_subspace_tracking,EuclideanSGD,1010,0.007033663542034338,0.07653824931698022,0.007551456820533027,0.1979909096956462,0.07653824931698022
grassmann_basis_rotation,RiemannianSGD,1010,2.623636622956219e-31,1.4045313850060149e-08,4.772735510757886e-16,0.7046840696120692,1.4045313850060149e-08
grassmann_basis_rotation,ProjectedEuclideanSGD,1010,3.0394996383703525e-31,1.2594510361667018e-08,3.2641965811185146e-16,0.7046840696120691,1.2594510361667018e-08
grassmann_basis_rotation,EuclideanSGD,1010,2.511087552763292e-32,1.740357580481915e-08,2.297860580830077e-16,0.704684069612069,1.740357580481915e-08
simplex_tracking,ProjectedSGD,1011,0.00014426002028450818,0.011283026376234337,8.326672684688674e-17,,
simplex_tracking,ExponentiatedGradient,1011,0.002832505571592477,0.04905311289021331,6.88338275267597e-17,,
simplex_tracking,EuclideanSGD,1011,0.0001480800827089265,0.01146412639566571,0.004904966441399505,,
stiefel_frame_tracking,RiemannianSGD,1011,0.008170459015604196,0.08240666223672424,5.967146648690684e-16,0.08240666223672424,0.07365821236924955
stiefel_frame_tracking,ProjectedEuclideanSGD,1011,0.00815513999504182,0.08233814135224767,5.766937340536404e-16,0.08233814135224767,0.07359058055165313
stiefel_frame_tracking,EuclideanSGD,1011,0.008118571836338313,0.08219067469432353,0.007483156690345168,0.08219067469432353,0.07344534584449354
grassmann_subspace_tracking,RiemannianSGD,1011,0.007521687631710938,0.07910820255625363,5.237735074951446e-16,0.09151433260978839,0.07910820255625363
grassmann_subspace_tracking,ProjectedEuclideanSGD,1011,0.007483292245564979,0.07892132275418953,5.748258272547839e-16,0.09128400632688603,0.07892132275418953
