case_id,sweep,x_value,dim,condition_number,learning_rate,gradient_noise,drift_per_step,seed,tail_empirical_mse,tail_exact_mse,empirical_exact_ratio,final_empirical_mse,final_exact_mse
eta_noise_0p025,eta_noise,0.025,20,5.0,0.025,0.02,0.0,1008,4.993900945495196e-05,4.2607004877421926e-05,1.1720844870139036,3.682157786303924e-05,4.260700487742192e-05
eta_noise_0p025,eta_noise,0.025,20,5.0,0.025,0.02,0.0,1009,4.2760917716547893e-05,4.2607004877421926e-05,1.003612383446543,2.7581515391382545e-05,4.260700487742192e-05
eta_noise_0p025,eta_noise,0.025,20,5.0,0.025,0.02,0.0,1010,4.61994763459345e-05,4.2607004877421926e-05,1.0843164516925778,3.760196687468968e-05,4.260700487742192e-05
eta_noise_0p025,eta_noise,0.025,20,5.0,0.025,0.02,0.0,1011,4.69425545723035e-05,4.2607004877421926e-05,1.1017567347752961,2.5276970998498484e-05,4.260700487742192e-05
eta_noise_0p025,eta_noise,0.025,20,5.0,0.025,0.02,0.0,1012,4.234754583433351e-05,4.2607004877421926e-05,0.9939104134675772,4.178418615553233e-05,4.260700487742192e-05
eta_noise_0p025,eta_noise,0.025,20,5.0,0.025,0.02,0.0,1013,3.832852619103662e-05,4.2607004877421926e-05,0.8995827400049766,3.403854328557617e-05,4.260700487742192e-05
eta_noise_0p025,eta_noise,0.025,20,5.0,0.025,0.02,0.0,1014,4.5059623448573024e-05,4.2607004877421926e-05,1.0575637404742988,3.242790903438293e-05,4.260700487742192e-05
eta_noise_0p025,eta_noise,0.025,20,5.0,0.025,0.02,0.0,1015,4.380647202833217e-05,4.2607004877421926e-05,1.0281518767714617,3.195877997068904e-05,4.260700487742192e-05
eta_noise_0p025,eta_noise,0.025,20,5.0,0.025,0.02,0.0,1016,3.927489387234635e-05,4.2607004877421926e-05,0.9217942914630615,3.066596363424174e-05,4.260700487742192e-05
eta_noise_0p025,eta_noise,0.025,20,5.0,0.025,0.02,0.0,1017,5.015921861088026e-05,4.2607004877421926e-05,1.1772528661703785,4.655832279691721e-05,4.260700487742192e-05
eta_noise_0p025,eta_noise,0.025,20,5.0,0.025,0.02,0.0,1018,5.800582503489479e-05,4.2607004877421926e-05,1.3614152227262735,7.647021840342133e-05,4.260700487742192e-05
eta_noise_0p025,eta_noise,0.025,20,5.0,0.025,0.02,0.0,1019,4.055389726429534e-05,4.2607004877421926e-05,0.9518129091910292,4.53810688441852e-05,4.260700487742192e-05
eta_noise_0p025,eta_noise,0.025,20,5.0,0.025,0.02,0.0,1020,3.7802139722601925e-05,4.2607004877421926e-05,0.887228281625443,2.7953962169987183e-05,4.260700487742192e-05
eta_noise_0p025,eta_noise,0.025,20,5.0,0.025,0.02,0.0,1021,3.8342548853522974e-05,4.2607004877421926e-05,0.8999118563680417,3.8227788201077e-05,4.260700487742192e-05
eta_noise_0p025,eta_noise,0.025,20,5.0,0.025,0.02,0.0,1022,4.053337013039487e-05,4.2607004877421926e-05,0.9513311308083544,4.728001566753245e-05,4.260700487742192e-05
eta_noise_0p025,eta_noise,0.025,20,5.0,0.025,0.02,0.0,1023,3.870415386326175e-05,4.2607004877421926e-05,0.9083988413316433,3.140910471314094e-05,4.260700487742192e-05
eta_noise_0p025,eta_noise,0.025,20,5.0,0.025,0.02,0.0,1024,4.251871845728779e-05,4.2607004877421926e-05,0.9979278895480185,3.058777374594604e-05,4.260700487742192e-05
eta_noise_0p025,eta_noise,0.025,20,5.0,0.025,0.02,0.0,1025,4.1153391590353104e-05,4.2607004877421926e-05,0.9658832323170617,4.215275955664276e-05,4.260700487742192e-05
eta_noise_0p025,eta_noise,0.025,20,5.0,0.025,0.02,0.0,1026,4.1358355137656905e-05,4.2607004877421926e-05,0.9706937921743779,5.000621757700001e-05,4.260700487742192e-05
eta_noise_0p025,eta_noise,0.025,20,5.0,0.025,0.02,0.0,1027,4.318687787996652e-05,4.2607004877421926e-05,1.0136098044021835,4.138105939778386e-05,4.260700487742192e-05
eta_noise_0p025,eta_noise,0.025,20,5.0,0.025,0.02,0.0,1028,3.982674680887402e-05,4.2607004877421926e-05,0.934746455974867,6.16080069389122e-05,4.260700487742192e-05
eta_noise_0p025,eta_noise,0.025,20,5.0,0.025,0.02,0.0,1029,4.3570713388105585e-05,4.2607004877421926e-05,1.0226185462567998,6.0282172124814405e-05,4.260700487742192e-05
eta_noise_0p025,eta_noise,0.025,20,5.0,0.025,0.02,0.0,1030,4.236473524775154e-05,4.2607004877421926e-05,0.9943138544854917,7.051462182786114e-05,4.260700487742192e-05
eta_drift_0p025,eta_drift,0.025,20,5.0,0.025,0.0,0.01,1001,0.0277132495958179,0.027713249595819094,0.9999999999999569,0.027713249595818654,0.0277132495958191
eta_drift_0p025,eta_drift,0.025,20,5.0,0.025,0.0,0.01,1002,0.0277132495958179,0.027713249595819094,0.9999999999999569,0.027713249595818654,0.0277132495958191
eta_drift_0p025,eta_drift,0.025,20,5.0,0.025,0.0,0.01,1003,0.0277132495958179,0.027713249595819094,0.9999999999999569,0.027713249595818654,0.0277132495958191
eta_drift_0p025,eta_drift,0.025,20,5.0,0.025,0.0,0.01,1004,0.0277132495958179,0.027713249595819094,0.9999999999999569,0.027713249595818654,0.0277132495958191
eta_drift_0p025,eta_drift,0.025,20,5.0,0.025,0.0,0.01,1005,0.0277132495958179,0.027713249595819094,0.9999999999999569,0.027713249595818654,0.0277132495958191
eta_drift_0p025,eta_drift,0.025,20,5.0,0.025,0.0,0.01,1006,0.0277132495958179,0.027713249595819094,0.9999999999999569,0.027713249595818654,0.0277132495958191
