case_id,dim,condition_number,path_kind,observation_noise,drift_per_query,amplitude,period,protocol,method,family,seed,final_mse,query_averaged_mse,tail_mse,queries_to_threshold,mean_gradient_cosine,updates,queries_per_update,learning_rate,smoothing,directions,maximum_gradient_norm,failed
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,SPSA-m1,spsa,1010,2.004229385150011e-05,0.00477289633218113,1.051848201341737e-05,250.0,0.14015394763882597,5000.0,2.0,0.020000000000000004,0.1,1.0,22.686217541151695,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,SPSA-m1,spsa,1011,1.1114373573762703e-05,0.005862204279087535,1.1712125849049615e-05,250.0,0.1399591505911631,5000.0,2.0,0.020000000000000004,0.1,1.0,24.587125078837214,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,SPSA-m1,spsa,1012,9.23294107827095e-06,0.004622354643505636,9.530645075383252e-06,200.0,0.13836663735138502,5000.0,2.0,0.020000000000000004,0.1,1.0,27.86145701169163,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,SPSA-m1,spsa,1013,1.3385642171642754e-05,0.005829425644453794,1.1145167330549486e-05,250.0,0.1399064608854493,5000.0,2.0,0.020000000000000004,0.1,1.0,20.123876906999577,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,SPSA-m1,spsa,1014,7.661399224542408e-06,0.005758156500718147,1.0056721203694709e-05,250.0,0.14177143335988993,5000.0,2.0,0.020000000000000004,0.1,1.0,24.003790852748036,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,SPSA-m1,spsa,1015,4.033549962561498e-06,0.004768129965371585,9.571241860643867e-06,200.0,0.14193819671940996,5000.0,2.0,0.020000000000000004,0.1,1.0,31.09669713155219,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,SPSA-m1,spsa,1016,1.0697302615123943e-05,0.003734116121871366,1.0117189447144836e-05,150.0,0.14016741416294917,5000.0,2.0,0.020000000000000004,0.1,1.0,27.272981806584852,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,SPSA-m1,spsa,1017,5.218772075385564e-06,0.00541700174550069,9.014109349851116e-06,300.0,0.1407734686425071,5000.0,2.0,0.020000000000000004,0.1,1.0,37.29144446170706,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,SPSA-m1,spsa,1018,8.080835445915623e-06,0.0045111396774832335,1.0437097423804946e-05,200.0,0.1416959082782905,5000.0,2.0,0.020000000000000004,0.1,1.0,20.78727666929476,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,SPSA-m1,spsa,1019,7.722291053374324e-06,0.006354756115220575,1.1005432317152341e-05,250.0,0.14062206308348638,5000.0,2.0,0.020000000000000004,0.1,1.0,29.012438597716546,0.0
