case_id,method,seed,frozen,streaming,freshness_log_ratio
cyclic_slow_d20,CoordinateCentral,1027,0.14443356590395887,0.1356404567862988,-0.06281196541576567
cyclic_slow_d20,CoordinateCentral,1028,0.14467220424055666,0.13585533883548356,-0.06287988827179754
cyclic_slow_d20,CoordinateCentral,1029,0.14425466256004785,0.13546247960424143,-0.0628855289539049
cyclic_slow_d20,CoordinateCentral,1030,0.14438877878318762,0.13558681227769398,-0.06289739799401806
cyclic_slow_d20,FirstOrderReference,1001,0.0026749869099958784,0.0026749869099958784,0.0
cyclic_slow_d20,FirstOrderReference,1002,0.0026749869099958784,0.0026749869099958784,0.0
cyclic_slow_d20,FirstOrderReference,1003,0.0026749869099958784,0.0026749869099958784,0.0
cyclic_slow_d20,FirstOrderReference,1004,0.0026749869099958784,0.0026749869099958784,0.0
cyclic_slow_d20,FirstOrderReference,1005,0.0026749869099958784,0.0026749869099958784,0.0
cyclic_slow_d20,FirstOrderReference,1006,0.0026749869099958784,0.0026749869099958784,0.0
cyclic_slow_d20,FirstOrderReference,1007,0.0026749869099958784,0.0026749869099958784,0.0
cyclic_slow_d20,FirstOrderReference,1008,0.0026749869099958784,0.0026749869099958784,0.0
cyclic_slow_d20,FirstOrderReference,1009,0.0026749869099958784,0.0026749869099958784,0.0
cyclic_slow_d20,FirstOrderReference,1010,0.0026749869099958784,0.0026749869099958784,0.0
cyclic_slow_d20,FirstOrderReference,1011,0.0026749869099958784,0.0026749869099958784,0.0
cyclic_slow_d20,FirstOrderReference,1012,0.0026749869099958784,0.0026749869099958784,0.0
cyclic_slow_d20,FirstOrderReference,1013,0.0026749869099958784,0.0026749869099958784,0.0
cyclic_slow_d20,FirstOrderReference,1014,0.0026749869099958784,0.0026749869099958784,0.0
cyclic_slow_d20,FirstOrderReference,1015,0.0026749869099958784,0.0026749869099958784,0.0
cyclic_slow_d20,FirstOrderReference,1016,0.0026749869099958784,0.0026749869099958784,0.0
cyclic_slow_d20,FirstOrderReference,1017,0.0026749869099958784,0.0026749869099958784,0.0
cyclic_slow_d20,FirstOrderReference,1018,0.0026749869099958784,0.0026749869099958784,0.0
cyclic_slow_d20,FirstOrderReference,1019,0.0026749869099958784,0.0026749869099958784,0.0
cyclic_slow_d20,FirstOrderReference,1020,0.0026749869099958784,0.0026749869099958784,0.0
