case_id,protocol,method,metric,queries,mean,std,ci_low,ci_high,runs
linear_slow_d20,streaming,Gaussian-m20,squared_error,3150.0,5.6432284327844476e-05,1.462831744429689e-05,5.119760815868716e-05,6.166696049700179e-05,30
linear_slow_d20,streaming,Gaussian-m20,squared_error,3200.0,4.653930310356848e-05,1.726159618508615e-05,4.03623202389455e-05,5.271628596819146e-05,30
linear_slow_d20,streaming,Gaussian-m20,squared_error,3250.0,4.78355731115447e-05,1.672547077164735e-05,4.1850440262215296e-05,5.38207059608741e-05,30
linear_slow_d20,streaming,Gaussian-m20,squared_error,3300.0,4.938594408473944e-05,1.5500446783725292e-05,4.383918043956767e-05,5.4932707729911204e-05,30
linear_slow_d20,streaming,Gaussian-m20,squared_error,3350.0,5.859160651449973e-05,1.9015949524815965e-05,5.178683636984712e-05,6.539637665915235e-05,30
linear_slow_d20,streaming,Gaussian-m20,squared_error,3400.0,4.4847428504834046e-05,1.284407024130623e-05,4.025123699728914e-05,4.944362001237895e-05,30
linear_slow_d20,streaming,Gaussian-m20,squared_error,3450.0,4.888883410639392e-05,1.1771939724803628e-05,4.46762995769214e-05,5.3101368635866446e-05,30
linear_slow_d20,streaming,Gaussian-m20,squared_error,3500.0,5.2868895320033345e-05,1.3923037763751102e-05,4.788660024326087e-05,5.785119039680582e-05,30
linear_slow_d20,streaming,Gaussian-m20,squared_error,3550.0,5.865067316749214e-05,1.4857887491921704e-05,5.3333846411841886e-05,6.39674999231424e-05,30
linear_slow_d20,streaming,Gaussian-m20,squared_error,3600.0,4.626131648070524e-05,1.198651666634367e-05,4.197199657884744e-05,5.0550636382563036e-05,30
linear_slow_d20,streaming,Gaussian-m20,squared_error,3650.0,5.1745871288958876e-05,1.5044842650128548e-05,4.6362143489145954e-05,5.71295990887718e-05,30
linear_slow_d20,streaming,Gaussian-m20,squared_error,3700.0,5.925537416477524e-05,1.687113188235049e-05,5.3218117156404706e-05,6.529263117314577e-05,30
