method,fine_tune_episodes,seed,scenario,dimension,noise,dynamic_regret,mean_regret,tail_regret,mean_tracking_error,post_change_error,max_constraint_violation,mean_step_size,mean_reallocation_l1,exploration_fraction,reversal_fraction,value_queries
Curriculum pretrained,10,21160727,mixed,12,heavy_tailed,24.087974569614712,0.08029324856538238,0.11529792738417814,0.27462142786814525,0.30118389797297035,5.551115123125783e-16,0.05583333333333333,0.10770518279830521,0.45666666666666667,0.2866666666666667,301.0
Curriculum pretrained,10,21160728,mixed,12,heavy_tailed,28.178894339693674,0.09392964779897892,0.12123087839641081,0.2978598353411479,0.3167118864447799,4.440892098500626e-16,0.054333333333333324,0.10551969935450618,0.5366666666666666,0.21333333333333335,301.0
Curriculum pretrained,10,21160729,mixed,12,heavy_tailed,21.8734403254774,0.07291146775159134,0.11810848730476708,0.2618904322220857,0.25530821552191474,4.440892098500626e-16,0.058533333333333326,0.11249923140676758,0.5366666666666666,0.22333333333333333,301.0
Curriculum pretrained,10,21160730,mixed,12,heavy_tailed,28.328140383424827,0.0944271346114161,0.1769732624965225,0.2855994400757906,0.29578307516685326,6.661338147750939e-16,0.05396666666666667,0.10383347140192271,0.43666666666666665,0.30333333333333334,301.0
Curriculum pretrained,10,21160731,mixed,12,heavy_tailed,27.335176100139574,0.09111725366713191,0.1625109689262045,0.28883741292382675,0.27554201675270273,4.440892098500626e-16,0.0694,0.13220600529450321,0.43333333333333335,0.29,301.0
Curriculum pretrained,10,21160732,mixed,12,heavy_tailed,25.634617988316514,0.08544872662772171,0.1139389296492401,0.27696866600711034,0.30912149083066237,5.551115123125783e-16,0.054299999999999994,0.10150389846574391,0.33,0.4266666666666667,301.0
Curriculum pretrained,10,21160733,mixed,12,heavy_tailed,28.213651482022776,0.09404550494007592,0.11016466760940233,0.29856094651006176,0.2965925735108858,6.661338147750939e-16,0.05553333333333332,0.10688826774225495,0.5066666666666667,0.2633333333333333,301.0
Curriculum pretrained,10,21160734,mixed,12,heavy_tailed,21.242433605298814,0.07080811201766271,0.08897482346332128,0.24856488592089032,0.29788716827791556,4.440892098500626e-16,0.056799999999999996,0.11603610230775435,0.44666666666666666,0.3233333333333333,301.0
Curriculum pretrained,10,21160735,mixed,12,heavy_tailed,28.588301285713435,0.09529433761904478,0.21396602469248158,0.29014968833627963,0.2718992839604442,4.440892098500626e-16,0.05926666666666667,0.11415759122515463,0.49333333333333335,0.24,301.0
Curriculum pretrained,10,21160736,mixed,12,heavy_tailed,30.855916948703147,0.10285305649567715,0.15848491851735233,0.3091667282202253,0.3174027556244746,4.440892098500626e-16,0.05449999999999999,0.10261107745209341,0.52,0.25666666666666665,301.0
Curriculum pretrained,10,21160737,mixed,12,heavy_tailed,31.392582665533595,0.10464194221844532,0.1167660593917459,0.3189703408429637,0.3173774065938802,4.440892098500626e-16,0.05923333333333333,0.1137771487288763,0.5966666666666667,0.2,301.0
Curriculum pretrained,10,21160738,mixed,12,heavy_tailed,21.22671738242809,0.07075572460809364,0.12835096860408055,0.25152660914181846,0.26325402453817104,4.440892098500626e-16,0.053766666666666664,0.10038362292044863,0.5466666666666666,0.21666666666666667,301.0
Curriculum pretrained,10,21160739,mixed,12,heavy_tailed,15.227613984154656,0.05075871328051552,0.08406266319262584,0.2124571775462302,0.227307539262726,6.661338147750939e-16,0.04603333333333333,0.08776017569034415,0.5033333333333333,0.2833333333333333,301.0
Curriculum pretrained,10,21160740,mixed,12,heavy_tailed,19.386396539919406,0.06462132179973136,0.1011939923646777,0.24205935052805236,0.2412085155548091,4.440892098500626e-16,0.05426666666666667,0.10493874068873654,0.53,0.2633333333333333,301.0
