method,episode,return,q_softmax_entropy
Curriculum pretrained,34,-37.904906537126784,0.695508711646627
Curriculum pretrained,35,-39.876787173045784,0.6037914736062688
Curriculum pretrained,36,-33.1185750890063,0.5786538487374152
Curriculum pretrained,37,-46.82836594330284,0.8005024686880383
Curriculum pretrained,38,-49.14276977144577,0.8801606460461545
Curriculum pretrained,39,-58.36873594426011,1.0302205788039396
Curriculum pretrained,40,-39.138896864185874,0.9156597777433345
Curriculum pretrained,41,-41.71167147178805,0.8909888963322657
Curriculum pretrained,42,-29.529149388407085,0.6525838654072205
Curriculum pretrained,43,-33.901583467654355,0.4279013183894216
Curriculum pretrained,44,-39.19468382737559,0.4799499528844825
Curriculum pretrained,45,-39.21611999777331,0.6816551334938762
Curriculum pretrained,46,-42.25046736398825,0.7790200999461208
Curriculum pretrained,47,-31.81185749310278,0.7917476842573571
Curriculum pretrained,48,-36.061415185920325,0.680112129132202
Curriculum pretrained,49,-37.93221340064041,0.6434431923089612
Curriculum pretrained,50,-25.197861799878016,0.5647917302639786
Curriculum pretrained,51,-32.6782678355532,0.595562648400785
Curriculum pretrained,52,-36.5669171753851,0.5742541179024216
Curriculum pretrained,53,-32.077773571636115,0.5595282862709929
Curriculum pretrained,54,-35.46622277855225,0.3622052275785656
Curriculum pretrained,55,-38.662866069104965,0.43508742608708284
Curriculum pretrained,56,-41.39249681677212,0.8430433472540247
Curriculum pretrained,57,-56.04652385259689,1.0271961652760904
Curriculum pretrained,58,-29.243447685543178,0.48438424384361933
Curriculum pretrained,59,-51.15418072481049,0.800298242029301
Curriculum pretrained,60,-47.60292948879835,1.1352849404130676
Curriculum pretrained,61,-60.122967401275886,0.8862819310360364
Curriculum pretrained,62,-25.377733698883375,0.9017124106112806
Curriculum pretrained,63,-48.35332583901029,0.7912173160693062
Curriculum pretrained,64,-24.103343852864647,0.6880180215468001
Curriculum pretrained,65,-26.028683575030303,0.38717706295361637
Curriculum pretrained,66,-23.1795817000319,0.6550204972470717
Curriculum pretrained,67,-50.74890769907853,0.6239935702042545
Curriculum pretrained,68,-31.716721967525395,0.599978684998367
Curriculum pretrained,69,-35.82044655539206,0.3019907496088544
Curriculum pretrained,70,-42.87502469786622,0.8643824130791901
Curriculum pretrained,71,-34.97976197355359,0.5523180255186411
Curriculum pretrained,72,-25.12663119738992,0.43586095696905197
Curriculum pretrained,73,-34.88834213131059,0.5576068230908872
Curriculum pretrained,74,-32.00173490519546,0.42145186809341095
Curriculum pretrained,75,-20.807200250065545,0.7331825869818483
Curriculum pretrained,76,-32.88751843237958,0.6412285988517838
Curriculum pretrained,77,-36.858534008802266,0.7091176947270657
Curriculum pretrained,78,-39.92957963719019,0.741387518757612
Curriculum pretrained,79,-31.516897874776134,0.713876676035837
Curriculum pretrained,80,-42.031238021326885,0.8036674837480344
Curriculum pretrained,81,-49.70106217285797,1.0102578520174332
Curriculum pretrained,82,-41.375845387063514,0.6878504628417895
Curriculum pretrained,83,-23.599718670989823,0.6458353090759019
Curriculum pretrained,84,-31.580884078343868,0.580526425433807
Curriculum pretrained,85,-33.15304494436699,0.6686114091104883
Curriculum pretrained,86,-25.548698813580998,0.6342440890838595
Curriculum pretrained,87,-31.119270122139287,0.5598736340695268
Curriculum pretrained,88,-31.938861678691378,0.5976388649548733
Curriculum pretrained,89,-40.33042009036603,0.6530838314795996
Curriculum pretrained,90,-29.38433512267399,0.6569762172916483
Curriculum pretrained,91,-37.9551785993078,0.7189788449268921
Curriculum pretrained,92,-33.44952748892726,0.5317419001284985
Curriculum pretrained,93,-24.182088482087053,0.5782034739059462
Curriculum pretrained,94,-21.705140713068918,0.5563682888688557
Curriculum pretrained,95,-31.38117551066192,0.3545003632547209
Curriculum pretrained,96,-39.55788485576193,0.6359949477090765
Curriculum pretrained,97,-29.649004495738794,0.5444155541320913
Curriculum pretrained,98,-38.13153694594751,0.6370844333671628
Curriculum pretrained,99,-34.968067800416996,0.5789993495787239
Curriculum pretrained,100,-26.589335899227247,0.6723674392068189
Curriculum pretrained,101,-44.9241800020851,0.7742407625033445
Curriculum pretrained,102,-22.069410315915,0.6128803654901183
Curriculum pretrained,103,-30.46628004863417,0.2765292260046053
Curriculum pretrained,104,-25.833873758181362,0.4730399742573406
Curriculum pretrained,105,-38.331618604089435,0.3366101414863771
Curriculum pretrained,106,-26.30432328358827,0.6202482195954482
